organization_id,club_name,logo_url,sport,registration_year,country,region_code,region,province,town,postal_code,address,latitude,longitude
3d36ce54591843dfb7a062c9,A.C. Olimpia Libertas,,football,2007,ITA,PUG,Puglia,BA,Bari,04478,"Piazza Italia, 78",41.0050022,16.8462603
be1f4d86b8e24b4f80f078c6,Sporting Club Nuova Junior,,football,2008,ITA,PIE,Piemonte,TO,Torino,45118,"Via Dante, 28",45.1432039,7.7603975
19a21b86e5464e0ea0295bdf,Club San Marco Atletico,,tennis,2022,ITA,CAM,Campania,NA,Napoli,87673,"Via Garibaldi, 6",40.8639782,14.2256428
19a21b86e5464e0ea0295bdf,Club San Marco Atletico,,volleyball,2022,ITA,CAM,Campania,NA,Napoli,87673,"Via Garibaldi, 6",40.8639782,14.2256428
19a21b86e5464e0ea0295bdf,Club San Marco Atletico,,cycling,2022,ITA,CAM,Campania,NA,Napoli,87673,"Via Garibaldi, 6",40.8639782,14.2256428
141f325484f545b4810d4fbe,A.C. Libertas 2022,,tennis,2022,ITA,FVG,Friuli-Venezia Giulia,TS,Trieste,84227,"Via Garibaldi, 78",45.6078776,13.6739376
4cefd78a3faf47e886c888c2,Sporting Club San Marco Nuova,,football,2008,ITA,EMR,Emilia-Romagna,BO,Bologna,75341,"Via Garibaldi, 28",44.5822817,11.2490207
c0bf19dafa504256bd0501eb,Sporting Club Trentino-Alto Adige Sport,,volleyball,2013,ITA,TAA,Trentino-Alto Adige,TN,Trento,48447,"Piazzale dello Sport, 52",46.0472017,11.1483158
8d7f7dfe824a40bfa283a4f9,S.S.D. Atletico Bologna Sport,,tennis,2014,ITA,EMR,Emilia-Romagna,BO,Bologna,73512,"Piazza Italia, 33",44.6493844,11.3528579
9373f37e846f44f599cfd2cf,Polisportiva Trentino-Alto Adige 2021,,padel,2008,ITA,TAA,Trentino-Alto Adige,TN,Trento,24416,"Piazza Italia, 98",46.0017222,11.1581083
4e1c55cc677945d69ce19ed4,A.C. Olimpia Milano,,basketball,2011,ITA,LOM,Lombardia,MI,Milano,08592,"Via dello Sport, 31",45.3766027,9.2188551
e8aa5ef90da34bda93ea3150,Associazione Sportiva Trieste 2022,,gymnastics,2006,ITA,FVG,Friuli-Venezia Giulia,TS,Trieste,96673,"Piazza Italia, 97",45.6634714,13.6736271
bbe995210a914f71b490b0bc,Club Bari Center,,football,2018,ITA,PUG,Puglia,BA,Bari,10305,"Via Mazzini, 1",41.1425898,16.8896473
f13a6578ab8b4eef9d93e389,A.S.D. Stella Azzurra Center,,football,2018,ITA,SAR,Sardegna,CA,Cagliari,32850,"Piazzale dello Sport, 61",39.1588311,9.06011
885bf3f8eefc499fbf86de5a,S.S.D. Union Toscana 2021,,football,2023,ITA,TOS,Toscana,FI,Firenze,15322,"Viale Europa, 103",43.8211245,11.188082
885bf3f8eefc499fbf86de5a,S.S.D. Union Toscana 2021,,swimming,2023,ITA,TOS,Toscana,FI,Firenze,15322,"Viale Europa, 103",43.8211245,11.188082
ad60e30497414fa9acdc7660,Sporting Club Pro Friuli-Venezia Giulia,,gymnastics,2001,ITA,FVG,Friuli-Venezia Giulia,TS,Trieste,02934,"Piazza Italia, 108",45.5880418,13.7845841
23ca57ce72ac4fdc894de74e,U.S.D. Union Veneto Center,,football,2025,ITA,VEN,Veneto,VE,Venezia,56444,"Via Marconi, 37",45.538955,12.4121739
23ca57ce72ac4fdc894de74e,U.S.D. Union Veneto Center,,tennis,2025,ITA,VEN,Veneto,VE,Venezia,56444,"Via Marconi, 37",45.538955,12.4121739
